Temperature,Year,Statistics,Country,ISO3
3.9025300000000014,1984,Aug Average,Chile,CHL
5.19953,1985,Aug Average,Chile,CHL
5.12796,1986,Aug Average,Chile,CHL
4.40194,1987,Aug Average,Chile,CHL
4.30635,1988,Aug Average,Chile,CHL
4.75185,1989,Aug Average,Chile,CHL
5.49713,1990,Aug Average,Chile,CHL
4.05806,1991,Aug Average,Chile,CHL
5.0063900000000015,1992,Aug Average,Chile,CHL
5.56384,1993,Aug Average,Chile,CHL
5.16521,1994,Aug Average,Chile,CHL
3.64301,1995,Aug Average,Chile,CHL
5.4110000000000005,1996,Aug Average,Chile,CHL
5.09215,1997,Aug Average,Chile,CHL
5.45415,1998,Aug Average,Chile,CHL
5.12151,1999,Aug Average,Chile,CHL
4.71347,2000,Aug Average,Chile,CHL
5.0987,2001,Aug Average,Chile,CHL
5.02827,2002,Aug Average,Chile,CHL
4.87477,2003,Aug Average,Chile,CHL
5.13585,2004,Aug Average,Chile,CHL
4.5924,2005,Aug Average,Chile,CHL
4.86904,2006,Aug Average,Chile,CHL
3.25353,2007,Aug Average,Chile,CHL
4.3110300000000015,2008,Aug Average,Chile,CHL
5.51539,2009,Aug Average,Chile,CHL
3.9995800000000004,2010,Aug Average,Chile,CHL
4.02728,2011,Aug Average,Chile,CHL
5.20747,2012,Aug Average,Chile,CHL
4.14122,2013,Aug Average,Chile,CHL
6.084569999999999,2014,Aug Average,Chile,CHL
5.52654,2015,Aug Average,Chile,CHL
5.8391,2016,Aug Average,Chile,CHL
11.3319,1901,Aug Average,Norway,NOR
8.511239999999999,1902,Aug Average,Norway,NOR
9.4248,1903,Aug Average,Norway,NOR
9.73029,1904,Aug Average,Norway,NOR
9.89301,1905,Aug Average,Norway,NOR
9.417019999999999,1906,Aug Average,Norway,NOR
8.17088,1907,Aug Average,Norway,NOR
10.5191,1908,Aug Average,Norway,NOR
9.57134,1909,Aug Average,Norway,NOR
10.3533,1910,Aug Average,Norway,NOR
